node_u,node_v,weight
#abhinoor,#abhishekbajaj,1
#abhinoor,#baseerali,1
#abhinoor,#nowfestxppkrit,1
#abhinoor,#sstvi,1
#abhishekbajaj,#baseerali,1
#abhishekbajaj,#nowfestxppkrit,1
#abhishekbajaj,#sstvi,1
#altcoins,#altcoinseason,1
#altcoins,#eth,1
#altcoinseason,#eth,1
#amc,#amcneverleaving,1
#amc,#amctothestars,1
#amc,#gme,1
#amc,#gmetothemoon,1
#amc,#roaringkitty,1
#amcneverleaving,#amctothestars,1
#amcneverleaving,#gme,1
#amcneverleaving,#gmetothemoon,1
#amcneverleaving,#roaringkitty,1
#amctothestars,#gme,1
#amctothestars,#gmetothemoon,1
#amctothestars,#roaringkitty,1
#bankofamerica,#china,1
#bankofamerica,#fed,1
#bankofamerica,#federal,1
#bankofamerica,#federalbnk,1
#bankofamerica,#gold,1
#bankofamerica,#investors,1
#bankofamerica,#jeromepowell,1
#bankofamerica,#silver,1
#bankofamerica,#trade,1
#bankofamerica,#usa,1
#baseerali,#nowfestxppkrit,1
#baseerali,#sstvi,1
#bitcoin,#breaking,1
#bitcoin,#btc,3
#bitcoin,#c,1
#bitcoin,#crypto,5
#bitcoin,#cryptoinvesting,1
#bitcoin,#cryptomarket,2
#bitcoin,#cryptonews,2
#bitcoin,#cryptotrends,1
#bitcoin,#cryptoupdates,1
#bitcoin,#defi,1
#bitcoin,#etf,1
#bitcoin,#ethereum,2
#bitcoin,#fed,2
#bitcoin,#federalreserve,1
#bitcoin,#fomc,1
#bitcoin,#interestrates,1
#bitcoin,#investing,1
#bitcoin,#marketsentiment,1
#bitcoin,#powell,1
#bitcoin,#ratecut,1
#bitcoin,#riskon,1
#bitcoin,#traderlife,1
#bitcoin,#trump,1
#bitcoin,#uptober,2
#brent,#eurusd,1
#brent,#fed,1
#brent,#gold,1
#brent,#iforex,1
#brent,#oil,1
#brent,#stocks,1
#brent,#trading,1
#brent,#us500,1
#brent,#usd,1
#brent,#wti,1
#brent,#xauusd,1
#btc,#crypto,2
#btc,#cryptocurrency,1
#btc,#cryptoinvesting,1
#btc,#cryptomarket,1
#btc,#cryptonews,2
#btc,#cryptoupdates,1
#btc,#etf,1
#btc,#eth,1
#btc,#fed,1
#btc,#federalreserve,1
#btc,#interestrates,1
#btc,#marketsentiment,1
#btc,#riskon,1
#btc,#traderlife,1
#btcusd,#cryptocrash,1
#btcusd,#trump,1
#btcusd,#trumptariffs,1
#btcusd,#xauusd,1
#c,#investing,1
#c,#uptober,1
#china,#fed,1
#china,#federal,1
#china,#federalbnk,1
